Game version:1.4.0
Size:20:20
Fill:14
//Plants
//type, xPosition, yPosition, growingStage, growingTicks, isWild, isRefreshable
plant-tomato,192,192,3,0,false,true
plant-tomato,320,192,3,0,false,true
plant-tomato,448,192,3,0,false,true
plant-tomato,576,192,3,0,false,true
plant-tomato,640,448,3,0,false,true
plant-tomato,384,448,3,0,false,true
plant-tomato,256,384,3,0,false,true
plant-tomato,384,256,3,0,false,true
plant-tomato,448,64,3,0,false,true
plant-tomato,704,192,3,0,false,true
plant-potato,768,448,3,0,false,false
plant-potato,640,320,3,0,false,false
plant-potato,576,384,3,0,false,false
plant-potato,640,512,3,0,false,false
plant-strawberry,640,768,3,0,true,false
plant-corn,768,0,3,0,true,false
//Items
//type, xPosition, yPosition
item-beet,576,1088
item-carrot,960,320
water-bowl,768,256,true
water-bowl,896,896,true
portal,704,-64,Forest
portal,1280,512,Forest
portal,-64,512,Forest
portal,832,1280,City
storagechest,768,320,2054103103
storagechest,704,320,1766077225
feather,960,512
mushroom,960,448
wood,960,384
wood,832,512
wood,704,576
//layer,tileId,xPos,yPos,regularTile,portalDirection
0,14,10,8,n
1,14,9,8,n
2,17,0,19,y
2,17,0,18,y
2,17,0,17,y
2,17,0,16,y
2,17,1,19,y
2,17,2,19,y
2,17,3,19,y
2,17,4,19,y
2,17,5,19,y
2,17,6,19,y
2,17,7,19,y
2,17,9,19,y
2,17,8,19,y
2,17,10,19,y
2,17,11,19,y
2,17,11,18,y
2,17,11,17,y
2,17,11,16,y
2,17,11,15,y
2,17,11,14,y
2,17,0,15,y
2,17,0,14,y
2,17,0,13,y
2,17,11,13,y
2,17,10,13,y
2,17,2,13,y
2,17,9,13,y
2,17,3,13,y
2,17,8,13,y
2,17,4,13,y
2,17,7,13,y
2,17,6,13,y
2,17,13,13,y
2,17,13,14,y
2,17,13,15,y
2,17,13,16,y
2,17,13,17,y
2,17,12,19,y
2,17,14,19,y
2,17,15,19,y
2,17,15,18,y
2,17,15,17,y
2,17,15,16,y
2,17,15,14,y
2,17,15,13,y
2,17,15,15,y
2,17,14,13,y
2,83,0,-1,n
2,83,1,-1,n
2,83,2,-1,n
2,83,3,-1,n
2,83,4,-1,n
2,83,5,-1,n
2,83,6,-1,n
2,83,7,-1,n
2,83,8,-1,n
2,83,9,-1,n
2,83,10,-1,n
2,83,12,-1,n
2,83,13,-1,n
2,83,14,-1,n
2,83,15,-1,n
2,83,16,-1,n
2,83,17,-1,n
2,83,18,-1,n
2,83,19,-1,n
2,83,20,-1,n
2,17,13,12,y
2,17,13,11,y
2,17,12,11,y
2,17,11,11,y
2,17,10,11,y
2,17,9,11,y
2,17,8,11,y
2,17,7,11,y
2,17,6,11,y
2,17,5,11,y
2,17,4,11,y
2,17,4,12,y
